
n_households:  100
Initial exploration has been finished!
[2023-05-16 22:22:34.334662] Epoch: 77 / 5000, Frames: 78000, gov_Rewards: 1.095, house_Rewards: -110.462, years:1.000, gov_actor_loss: 129794.109, gov_critic_loss: 628359424.000, house_actor_loss: 11303.872, house_critic_loss: 790835200.000
[2023-05-16 22:22:48.414621] Epoch: 78 / 5000, Frames: 79000, gov_Rewards: 1.095, house_Rewards: -110.492, years:1.000, gov_actor_loss: -2867.717, gov_critic_loss: 322555520.000, house_actor_loss: 223691.812, house_critic_loss: 1843271424.000
[2023-05-16 22:23:02.492683] Epoch: 79 / 5000, Frames: 80000, gov_Rewards: 1.104, house_Rewards: -110.538, years:1.000, gov_actor_loss: -123368.375, gov_critic_loss: 1186071680.000, house_actor_loss: 130718.680, house_critic_loss: 2602767360.000
[2023-05-16 22:23:16.308812] Epoch: 80 / 5000, Frames: 81000, gov_Rewards: 1.090, house_Rewards: -110.457, years:1.000, gov_actor_loss: 24737.049, gov_critic_loss: 308721056.000, house_actor_loss: 70906.445, house_critic_loss: 1260019456.000
[2023-05-16 22:23:30.541558] Epoch: 81 / 5000, Frames: 82000, gov_Rewards: 1.105, house_Rewards: -110.607, years:1.000, gov_actor_loss: 78139.969, gov_critic_loss: 1296166656.000, house_actor_loss: 63266.695, house_critic_loss: 2205127168.000
[2023-05-16 22:23:44.524767] Epoch: 82 / 5000, Frames: 83000, gov_Rewards: 1.108, house_Rewards: -110.531, years:1.000, gov_actor_loss: 95105.898, gov_critic_loss: 745068288.000, house_actor_loss: 27565.342, house_critic_loss: 1386570624.000
[2023-05-16 22:23:58.652725] Epoch: 83 / 5000, Frames: 84000, gov_Rewards: 1.116, house_Rewards: -110.607, years:1.000, gov_actor_loss: -88928.945, gov_critic_loss: 319500608.000, house_actor_loss: 186684.469, house_critic_loss: 1419305728.000
[2023-05-16 22:24:12.826069] Epoch: 84 / 5000, Frames: 85000, gov_Rewards: 1.117, house_Rewards: -110.623, years:1.000, gov_actor_loss: -42011.676, gov_critic_loss: 225607328.000, house_actor_loss: -95219.219, house_critic_loss: 466016544.000
[2023-05-16 22:24:26.915682] Epoch: 85 / 5000, Frames: 86000, gov_Rewards: 1.123, house_Rewards: -110.692, years:1.000, gov_actor_loss: -122920.281, gov_critic_loss: 680959424.000, house_actor_loss: 118099.750, house_critic_loss: 1056663296.000
[2023-05-16 22:24:40.981450] Epoch: 86 / 5000, Frames: 87000, gov_Rewards: 1.100, house_Rewards: -110.738, years:1.000, gov_actor_loss: -3270.336, gov_critic_loss: 515772416.000, house_actor_loss: 122479.289, house_critic_loss: 1619971200.000
[2023-05-16 22:24:55.099168] Epoch: 87 / 5000, Frames: 88000, gov_Rewards: 1.101, house_Rewards: -110.781, years:1.000, gov_actor_loss: 73122.578, gov_critic_loss: 267554784.000, house_actor_loss: 139056.719, house_critic_loss: 756535744.000
[2023-05-16 22:25:09.063716] Epoch: 88 / 5000, Frames: 89000, gov_Rewards: 1.115, house_Rewards: -110.715, years:1.000, gov_actor_loss: -31212.150, gov_critic_loss: 340076576.000, house_actor_loss: 84860.078, house_critic_loss: 972005696.000
[2023-05-16 22:25:23.185556] Epoch: 89 / 5000, Frames: 90000, gov_Rewards: 1.113, house_Rewards: -110.673, years:1.000, gov_actor_loss: -53528.043, gov_critic_loss: 356918336.000, house_actor_loss: -222177.625, house_critic_loss: 1440961920.000
[2023-05-16 22:25:37.199164] Epoch: 90 / 5000, Frames: 91000, gov_Rewards: 1.095, house_Rewards: -110.639, years:1.000, gov_actor_loss: -17837.312, gov_critic_loss: 608942528.000, house_actor_loss: 122495.641, house_critic_loss: 1539519232.000
[2023-05-16 22:25:51.444480] Epoch: 91 / 5000, Frames: 92000, gov_Rewards: 1.099, house_Rewards: -110.642, years:1.000, gov_actor_loss: 4886.597, gov_critic_loss: 120688008.000, house_actor_loss: -167749.469, house_critic_loss: 524166592.000
[2023-05-16 22:26:05.437118] Epoch: 92 / 5000, Frames: 93000, gov_Rewards: 1.095, house_Rewards: -110.761, years:1.000, gov_actor_loss: 27537.016, gov_critic_loss: 174716480.000, house_actor_loss: 149997.625, house_critic_loss: 769576256.000
[2023-05-16 22:26:19.291049] Epoch: 93 / 5000, Frames: 94000, gov_Rewards: 1.121, house_Rewards: -110.557, years:1.000, gov_actor_loss: -54962.070, gov_critic_loss: 713716096.000, house_actor_loss: 103199.719, house_critic_loss: 1622509184.000
[2023-05-16 22:26:33.316729] Epoch: 94 / 5000, Frames: 95000, gov_Rewards: 1.109, house_Rewards: -110.663, years:1.000, gov_actor_loss: -24333.445, gov_critic_loss: 480124672.000, house_actor_loss: 43674.625, house_critic_loss: 1087557632.000
[2023-05-16 22:26:47.345102] Epoch: 95 / 5000, Frames: 96000, gov_Rewards: 1.104, house_Rewards: -110.693, years:1.000, gov_actor_loss: 13451.432, gov_critic_loss: 581284672.000, house_actor_loss: -232219.969, house_critic_loss: 2756988672.000
[2023-05-16 22:27:01.438248] Epoch: 96 / 5000, Frames: 97000, gov_Rewards: 1.090, house_Rewards: -110.631, years:1.000, gov_actor_loss: -19180.145, gov_critic_loss: 669763264.000, house_actor_loss: 195392.688, house_critic_loss: 1561618688.000
[2023-05-16 22:27:15.551902] Epoch: 97 / 5000, Frames: 98000, gov_Rewards: 1.099, house_Rewards: -110.692, years:1.000, gov_actor_loss: -68885.742, gov_critic_loss: 415236544.000, house_actor_loss: 67377.828, house_critic_loss: 628982144.000
[2023-05-16 22:27:29.663845] Epoch: 98 / 5000, Frames: 99000, gov_Rewards: 1.115, house_Rewards: -110.710, years:1.000, gov_actor_loss: 20864.488, gov_critic_loss: 219818400.000, house_actor_loss: 173569.750, house_critic_loss: 899405248.000
[2023-05-16 22:27:43.851808] Epoch: 99 / 5000, Frames: 100000, gov_Rewards: 1.105, house_Rewards: -110.742, years:1.000, gov_actor_loss: 44612.000, gov_critic_loss: 399906688.000, house_actor_loss: -62071.156, house_critic_loss: 880097344.000
[2023-05-16 22:27:57.827498] Epoch: 100 / 5000, Frames: 101000, gov_Rewards: 1.103, house_Rewards: -110.742, years:1.000, gov_actor_loss: 65211.664, gov_critic_loss: 343888704.000, house_actor_loss: -57457.680, house_critic_loss: 540110656.000
[2023-05-16 22:28:11.998321] Epoch: 101 / 5000, Frames: 102000, gov_Rewards: 1.120, house_Rewards: -110.670, years:1.000, gov_actor_loss: 58002.512, gov_critic_loss: 377541824.000, house_actor_loss: 42618.145, house_critic_loss: 627115520.000
[2023-05-16 22:28:26.225000] Epoch: 102 / 5000, Frames: 103000, gov_Rewards: 1.123, house_Rewards: -110.652, years:1.000, gov_actor_loss: 48140.797, gov_critic_loss: 228439472.000, house_actor_loss: 39609.219, house_critic_loss: 338201888.000
[2023-05-16 22:28:41.011337] Epoch: 103 / 5000, Frames: 104000, gov_Rewards: 1.120, house_Rewards: -110.673, years:1.000, gov_actor_loss: 89960.711, gov_critic_loss: 541230720.000, house_actor_loss: -86199.195, house_critic_loss: 859301056.000
[2023-05-16 22:28:55.215745] Epoch: 104 / 5000, Frames: 105000, gov_Rewards: 1.103, house_Rewards: -110.684, years:1.000, gov_actor_loss: 36954.695, gov_critic_loss: 223644080.000, house_actor_loss: -70938.117, house_critic_loss: 494273024.000
