WGT,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL,CONSUMPTION,CONS_P
2405.644254,12,1,10400,1800,0,0,54045.59118,54045.59118,0,0,0,1000,1000,705800,704800,260000,445800,2100,0.466273001,25200,0.033164633
2296.900256,12,1,10400,1800,0,0,54045.59118,54045.59118,0,0,0,1000,1000,705900,704900,260000,445900,2100,0.466273001,25200,0.033160269
2441.797333,12,1,10400,1800,0,0,54045.59118,54045.59118,0,0,0,1000,1000,705800,704800,260000,445800,2100,0.466273001,25200,0.033164633
3943.842102,3,1,4160,1040,0,1700,36751.002,36751.002,0,0,0,2000,9000,24000,15000,0,24000,0,0,0,0
3950.96126,3,1,4160,1040,0,1700,43236.47295,42155.56112,0,0,0,1000,8000,23000,15000,0,23000,0,0,0,0
3965.318234,3,1,4160,1040,0,1700,42155.56112,43236.47295,0,0,0,1800,8800,23700,14900,0,23700,0,0,0,0
3975.176785,3,1,4160,1040,0,1700,54045.59118,54045.59118,0,0,0,1400,8400,23400,15000,0,23400,0,0,0,0
3956.878327,3,1,4160,1040,0,1700,29184.61924,29184.61924,0,0,0,2200,9200,24200,15000,0,24200,0,0,0,0
1708.569934,6,1,2400,1200,0,1000,54045.59118,41074.6493,0,0,0,800,800,14100,13300,0,14100,0,0,0,0
1717.816144,6,1,2400,1200,0,1000,52964.67936,41074.6493,0,0,0,800,800,16200,15400,0,16200,0,0,0,0
1691.329202,6,1,2400,1200,0,1100,54045.59118,41074.6493,0,0,0,800,800,15100,14300,0,15100,0,0,0,0
1719.789843,6,1,2400,1200,0,1100,54045.59118,41074.6493,0,0,0,800,800,8700,7900,0,8700,0,0,0,0
1695.561816,6,1,2400,1200,0,1100,54045.59118,41074.6493,0,0,0,800,800,21600,20800,0,21600,0,0,0,0
