"Step","rule_based-run236  n=100 - GDP","rule_based-run236  n=100 - GDP__MIN","rule_based-run236  n=100 - GDP__MAX","independent_ppo-run5  n=100 - GDP","independent_ppo-run5  n=100 - GDP__MIN","independent_ppo-run5  n=100 - GDP__MAX","independent_ppo-run4  n=10 - GDP","independent_ppo-run4  n=10 - GDP__MIN","independent_ppo-run4  n=10 - GDP__MAX","bmfac-run106  n=100 - GDP","bmfac-run106  n=100 - GDP__MIN","bmfac-run106  n=100 - GDP__MAX","maddpg-run36  n=100 - GDP","maddpg-run36  n=100 - GDP__MIN","maddpg-run36  n=100 - GDP__MAX","bmfac-run112  n=10 - GDP","bmfac-run112  n=10 - GDP__MIN","bmfac-run112  n=10 - GDP__MAX","rule_based-run235  n=10 - GDP","rule_based-run235  n=10 - GDP__MIN","rule_based-run235  n=10 - GDP__MAX","maddpg-run35  n=10 - GDP","maddpg-run35  n=10 - GDP__MIN","maddpg-run35  n=10 - GDP__MAX"
"1888","","","","650635.6375551436","650635.6375551436","650635.6375551436","138132.91635232331","138132.91635232331","138132.91635232331","1053351.0542439003","1053351.0542439003","1053351.0542439003","9104877.416454904","9104877.416454904","9104877.416454904","3514239.7882287884","3514239.7882287884","3514239.7882287884","","","","4930648.987377714","4930648.987377714","4930648.987377714"
"1889","","","","684184.6558939513","684184.6558939513","684184.6558939513","283098.1783098103","283098.1783098103","283098.1783098103","1060499.2548813315","1060499.2548813315","1060499.2548813315","8751264.620911075","8751264.620911075","8751264.620911075","3743750.6599251227","3743750.6599251227","3743750.6599251227","","","","3702193.239076846","3702193.239076846","3702193.239076846"
"1890","","","","584809.2013119501","584809.2013119501","584809.2013119501","250654.7302133925","250654.7302133925","250654.7302133925","1030708.8648057109","1030708.8648057109","1030708.8648057109","9049265.87548623","9049265.87548623","9049265.87548623","3813177.176261288","3813177.176261288","3813177.176261288","","","","4334804.571352556","4334804.571352556","4334804.571352556"
"1891","","","","703744.484918223","703744.484918223","703744.484918223","144151.78514641267","144151.78514641267","144151.78514641267","1072500.250368022","1072500.250368022","1072500.250368022","9839454.260357095","9839454.260357095","9839454.260357095","3660517.1705008647","3660517.1705008647","3660517.1705008647","","","","3810253.3405317757","3810253.3405317757","3810253.3405317757"
"1892","","","","716162.8248421242","716162.8248421242","716162.8248421242","189843.85013767172","189843.85013767172","189843.85013767172","1077638.7326674578","1077638.7326674578","1077638.7326674578","8918236.578871084","8918236.578871084","8918236.578871084","2942014.248485377","2942014.248485377","2942014.248485377","","","","7247945.847662994","7247945.847662994","7247945.847662994"
"1893","","","","703399.283696711","703399.283696711","703399.283696711","176976.32511840045","176976.32511840045","176976.32511840045","1114476.53457724","1114476.53457724","1114476.53457724","8047438.314482435","8047438.314482435","8047438.314482435","2976157.3827274344","2976157.3827274344","2976157.3827274344","","","","5902271.858417914","5902271.858417914","5902271.858417914"
"1894","","","","684562.8351084889","684562.8351084889","684562.8351084889","333187.56084171956","333187.56084171956","333187.56084171956","1021224.4222400974","1021224.4222400974","1021224.4222400974","9050795.676189873","9050795.676189873","9050795.676189873","3003308.383475258","3003308.383475258","3003308.383475258","","","","4078697.586217051","4078697.586217051","4078697.586217051"
"1895","","","","649177.703334445","649177.703334445","649177.703334445","183295.87764672574","183295.87764672574","183295.87764672574","1027549.9860724655","1027549.9860724655","1027549.9860724655","9330008.984448774","9330008.984448774","9330008.984448774","2907705.814254731","2907705.814254731","2907705.814254731","","","","1725142.0236671257","1725142.0236671257","1725142.0236671257"
"1896","","","","614904.0809134786","614904.0809134786","614904.0809134786","187110.864119771","187110.864119771","187110.864119771","1033108.9134383565","1033108.9134383565","1033108.9134383565","10735219.626044242","10735219.626044242","10735219.626044242","1856181.41743135","1856181.41743135","1856181.41743135","","","","2963293.7145409808","2963293.7145409808","2963293.7145409808"
"1897","","","","654065.1108619154","654065.1108619154","654065.1108619154","245266.4672986759","245266.4672986759","245266.4672986759","1041227.7161859439","1041227.7161859439","1041227.7161859439","9722337.904785197","9722337.904785197","9722337.904785197","1806072.0693035037","1806072.0693035037","1806072.0693035037","","","","4957415.342754522","4957415.342754522","4957415.342754522"
